REF_DATE,GEO,Statistics,UOM,COORDINATE,VALUE
1998,Canada,Crime severity index,Index,1.1,118.84
1998,Canada,Violent crime severity index,Index,1.3,97.8
1998,Canada,Non-violent crime severity index,Index,1.5,126.93
1998,Canada,Youth crime severity index,Index,1.7,110.24
1998,Canada,Youth violent crime severity index,Index,1.9,86.59
1998,Canada,Youth non-violent crime severity index,Index,1.11,128.25
1998,Canada,Weighted clearance rate,Number,1.13,34.06
1998,Canada,Violent weighted clearance rate,Number,1.15,55.66
1998,Canada,Non-violent weighted clearance rate,Number,1.17,27.66
1998,Canada,Percent change in non-violent weighted clearance rate,Percent,1.18,
1998,Newfoundland and Labrador [10],Crime severity index,Index,2.1,76.38
1998,Newfoundland and Labrador [10],Violent crime severity index,Index,2.3,58.43
1998,Newfoundland and Labrador [10],Non-violent crime severity index,Index,2.5,83.28
1998,Newfoundland and Labrador [10],Youth crime severity index,Index,2.7,109.72
1998,Newfoundland and Labrador [10],Youth violent crime severity index,Index,2.9,55.73
1998,Newfoundland and Labrador [10],Youth non-violent crime severity index,Index,2.11,150.84
1998,Newfoundland and Labrador [10],Weighted clearance rate,Number,2.13,41.91
1998,Newfoundland and Labrador [10],Violent weighted clearance rate,Number,2.15,62.81
1998,Newfoundland and Labrador [10],Non-violent weighted clearance rate,Number,2.17,36.27
1998,Newfoundland and Labrador [10],Percent change in non-violent weighted clearance rate,Percent,2.18,
1998,"St. John's, Newfoundland and Labrador [10001]",Crime severity index,Index,3.1,101.04
1998,"St. John's, Newfoundland and Labrador [10001]",Violent crime severity index,Index,3.3,66.55
1998,"St. John's, Newfoundland and Labrador [10001]",Non-violent crime severity index,Index,3.5,114.29
1998,"St. John's, Newfoundland and Labrador [10001]",Youth crime severity index,Index,3.7,
1998,"St. John's, Newfoundland and Labrador [10001]",Youth violent crime severity index,Index,3.9,
1998,"St. John's, Newfoundland and Labrador [10001]",Youth non-violent crime severity index,Index,3.11,
1998,"St. John's, Newfoundland and Labrador [10001]",Weighted clearance rate,Number,3.13,31.64
1998,"St. John's, Newfoundland and Labrador [10001]",Violent weighted clearance rate,Number,3.15,52.62
1998,"St. John's, Newfoundland and Labrador [10001]",Non-violent weighted clearance rate,Number,3.17,26.95
1998,"St. John's, Newfoundland and Labrador [10001]",Percent change in non-violent weighted clearance rate,Percent,3.18,
1998,Prince Edward Island [11],Crime severity index,Index,4.1,73.31
1998,Prince Edward Island [11],Violent crime severity index,Index,4.3,57.83
1998,Prince Edward Island [11],Non-violent crime severity index,Index,4.5,79.27
1998,Prince Edward Island [11],Youth crime severity index,Index,4.7,50.33
1998,Prince Edward Island [11],Youth violent crime severity index,Index,4.9,29.62
1998,Prince Edward Island [11],Youth non-violent crime severity index,Index,4.11,66.11
1998,Prince Edward Island [11],Weighted clearance rate,Number,4.13,50.45
1998,Prince Edward Island [11],Violent weighted clearance rate,Number,4.15,75.4
1998,Prince Edward Island [11],Non-violent weighted clearance rate,Number,4.17,43.45
1998,Prince Edward Island [11],Percent change in non-violent weighted clearance rate,Percent,4.18,
1998,Nova Scotia [12],Crime severity index,Index,5.1,105.4
1998,Nova Scotia [12],Violent crime severity index,Index,5.3,84.95
1998,Nova Scotia [12],Non-violent crime severity index,Index,5.5,113.26
1998,Nova Scotia [12],Youth crime severity index,Index,5.7,105.21
1998,Nova Scotia [12],Youth violent crime severity index,Index,5.9,75.28
1998,Nova Scotia [12],Youth non-violent crime severity index,Index,5.11,128.01
1998,Nova Scotia [12],Weighted clearance rate,Number,5.13,35.55
1998,Nova Scotia [12],Violent weighted clearance rate,Number,5.15,58.55
1998,Nova Scotia [12],Non-violent weighted clearance rate,Number,5.17,28.91
1998,Nova Scotia [12],Percent change in non-violent weighted clearance rate,Percent,5.18,
1998,"Halifax, Nova Scotia [12205]",Crime severity index,Index,6.1,134.13
1998,"Halifax, Nova Scotia [12205]",Violent crime severity index,Index,6.3,110.54
1998,"Halifax, Nova Scotia [12205]",Non-violent crime severity index,Index,6.5,143.2
1998,"Halifax, Nova Scotia [12205]",Youth crime severity index,Index,6.7,
1998,"Halifax, Nova Scotia [12205]",Youth violent crime severity index,Index,6.9,
1998,"Halifax, Nova Scotia [12205]",Youth non-violent crime severity index,Index,6.11,
1998,"Halifax, Nova Scotia [12205]",Weighted clearance rate,Number,6.13,28.95
1998,"Halifax, Nova Scotia [12205]",Violent weighted clearance rate,Number,6.15,51.65
1998,"Halifax, Nova Scotia [12205]",Non-violent weighted clearance rate,Number,6.17,22.21
1998,"Halifax, Nova Scotia [12205]",Percent change in non-violent weighted clearance rate,Percent,6.18,
1998,New Brunswick [13],Crime severity index,Index,7.1,89.98
1998,New Brunswick [13],Violent crime severity index,Index,7.3,67.12
1998,New Brunswick [13],Non-violent crime severity index,Index,7.5,98.77
1998,New Brunswick [13],Youth crime severity index,Index,7.7,97.2
1998,New Brunswick [13],Youth violent crime severity index,Index,7.9,55.97
1998,New Brunswick [13],Youth non-violent crime severity index,Index,7.11,128.61
1998,New Brunswick [13],Weighted clearance rate,Number,7.13,43.97
1998,New Brunswick [13],Violent weighted clearance rate,Number,7.15,68.06
1998,New Brunswick [13],Non-violent weighted clearance rate,Number,7.17,37.68
1998,New Brunswick [13],Percent change in non-violent weighted clearance rate,Percent,7.18,
1998,"Saint John, New Brunswick [13310]",Crime severity index,Index,8.1,101.24
1998,"Saint John, New Brunswick [13310]",Violent crime severity index,Index,8.3,84.07
1998,"Saint John, New Brunswick [13310]",Non-violent crime severity index,Index,8.5,107.84
1998,"Saint John, New Brunswick [13310]",Youth crime severity index,Index,8.7,
1998,"Saint John, New Brunswick [13310]",Youth violent crime severity index,Index,8.9,
1998,"Saint John, New Brunswick [13310]",Youth non-violent crime severity index,Index,8.11,
1998,"Saint John, New Brunswick [13310]",Weighted clearance rate,Number,8.13,41.93
1998,"Saint John, New Brunswick [13310]",Violent weighted clearance rate,Number,8.15,58.43
1998,"Saint John, New Brunswick [13310]",Non-violent weighted clearance rate,Number,8.17,36.98
1998,"Saint John, New Brunswick [13310]",Percent change in non-violent weighted clearance rate,Percent,8.18,
1998,Quebec [24],Crime severity index,Index,9.1,112.68
1998,Quebec [24],Violent crime severity index,Index,9.3,90.47
1998,Quebec [24],Non-violent crime severity index,Index,9.5,121.22
1998,Quebec [24],Youth crime severity index,Index,9.7,89.55
1998,Quebec [24],Youth violent crime severity index,Index,9.9,73.95
1998,Quebec [24],Youth non-violent crime severity index,Index,9.11,101.43
1998,Quebec [24],Weighted clearance rate,Number,9.13,29.48
1998,Quebec [24],Violent weighted clearance rate,Number,9.15,53.47
1998,Quebec [24],Non-violent weighted clearance rate,Number,9.17,22.6
1998,Quebec [24],Percent change in non-violent weighted clearance rate,Percent,9.18,
1998,"Saguenay, Quebec [24408]",Crime severity index,Index,10.1,114.09
1998,"Saguenay, Quebec [24408]",Violent crime severity index,Index,10.3,50.4
1998,"Saguenay, Quebec [24408]",Non-violent crime severity index,Index,10.5,138.57
1998,"Saguenay, Quebec [24408]",Youth crime severity index,Index,10.7,
1998,"Saguenay, Quebec [24408]",Youth violent crime severity index,Index,10.9,
1998,"Saguenay, Quebec [24408]",Youth non-violent crime severity index,Index,10.11,
1998,"Saguenay, Quebec [24408]",Weighted clearance rate,Number,10.13,26.52
1998,"Saguenay, Quebec [24408]",Violent weighted clearance rate,Number,10.15,65.06
1998,"Saguenay, Quebec [24408]",Non-violent weighted clearance rate,Number,10.17,21.13
1998,"Saguenay, Quebec [24408]",Percent change in non-violent weighted clearance rate,Percent,10.18,
1998,"Québec, Quebec [24421]",Crime severity index,Index,11.1,91.05
1998,"Québec, Quebec [24421]",Violent crime severity index,Index,11.3,64.89
1998,"Québec, Quebec [24421]",Non-violent crime severity index,Index,11.5,101.11
1998,"Québec, Quebec [24421]",Youth crime severity index,Index,11.7,
1998,"Québec, Quebec [24421]",Youth violent crime severity index,Index,11.9,
1998,"Québec, Quebec [24421]",Youth non-violent crime severity index,Index,11.11,
1998,"Québec, Quebec [24421]",Weighted clearance rate,Number,11.13,31.92
1998,"Québec, Quebec [24421]",Violent weighted clearance rate,Number,11.15,53.07
1998,"Québec, Quebec [24421]",Non-violent weighted clearance rate,Number,11.17,26.7
1998,"Québec, Quebec [24421]",Percent change in non-violent weighted clearance rate,Percent,11.18,
1998,"Sherbrooke, Quebec [24433]",Crime severity index,Index,12.1,111.65
1998,"Sherbrooke, Quebec [24433]",Violent crime severity index,Index,12.3,53.89
1998,"Sherbrooke, Quebec [24433]",Non-violent crime severity index,Index,12.5,133.85
1998,"Sherbrooke, Quebec [24433]",Youth crime severity index,Index,12.7,
1998,"Sherbrooke, Quebec [24433]",Youth violent crime severity index,Index,12.9,
1998,"Sherbrooke, Quebec [24433]",Youth non-violent crime severity index,Index,12.11,
1998,"Sherbrooke, Quebec [24433]",Weighted clearance rate,Number,12.13,24.55
1998,"Sherbrooke, Quebec [24433]",Violent weighted clearance rate,Number,12.15,59.17
1998,"Sherbrooke, Quebec [24433]",Non-violent weighted clearance rate,Number,12.17,19.2
1998,"Sherbrooke, Quebec [24433]",Percent change in non-violent weighted clearance rate,Percent,12.18,
1998,"Trois-Rivières, Quebec [24442]",Crime severity index,Index,13.1,96.4
1998,"Trois-Rivières, Quebec [24442]",Violent crime severity index,Index,13.3,49.13
